[2015-03-01 20:08:49.370]  INFO [main] (QueryParser.java:74) - <Join0> Parsing <ballStream0>
[2015-03-01 20:08:49.437]  INFO [main] (QueryParser.java:74) - <Join0> Parsing <playersStream0>
[2015-03-01 20:08:49.438]  INFO [main] (QueryParser.java:74) - <Join0> Parsing <nearBall0>
[2015-03-01 20:08:49.837]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 14992.37 eps
[2015-03-01 20:08:49.885]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 26719.13 eps
[2015-03-01 20:08:50.272]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 18298.32 eps
[2015-03-01 20:08:50.361]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 78870.41 eps
[2015-03-01 20:08:50.500]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 9183.77 eps
[2015-03-01 20:08:50.514]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 96899.99 eps
[2015-03-01 20:08:52.427]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 4615.59 eps
[2015-03-01 20:08:52.581]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 45244.48 eps
[2015-03-01 20:08:52.655]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 17069.15 eps
[2015-03-01 20:08:52.664]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 169155.34 eps
[2015-03-01 20:08:54.863]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 3154.61 eps
[2015-03-01 20:08:55.090]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 30667.99 eps
[2015-03-01 20:08:55.163]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 17408.25 eps
[2015-03-01 20:08:55.170]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 187930.22 eps
[2015-03-01 20:08:57.898]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 2542.88 eps
[2015-03-01 20:08:57.966]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 103897.86 eps
[2015-03-01 20:08:58.100]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 9421.17 eps
[2015-03-01 20:08:58.112]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 103823.64 eps
[2015-03-01 20:09:02.199]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 1697.61 eps
[2015-03-01 20:09:02.411]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 32887.76 eps
[2015-03-01 20:09:02.489]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 16113.57 eps
